source,key,site,price,name,event,link
findprice,娘家大紅麴,樂天市場 - 橘子藥美麗,"$ 2,450",娘家大紅麴膠囊(30粒/盒) 娘家系列產品,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/gizmv784/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 德芳保健藥妝,"$ 2,328",民視 娘家大紅麴膠囊 30顆入【德芳保健藥妝】,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/grb4u76q/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,蝦皮商城 - 春天藥局網路商城,"$ 2,580",【娘家】大紅麴膠囊 30粒/盒 春天藥局,"['活動\n蝦皮7.7夏日免運節 領6張免運券', '折扣\n6月薪客滿299折150  折扣碼：IA202206 複製折扣碼 ']",https://www.findprice.com.tw/go/gtvrjbnv/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 美十樂藥妝保健,"$ 2,450",娘家大紅麴30粒 衛部健食字第A00289號,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/grxvmm38/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 美十樂藥妝保健,"$ 2,450",娘家大紅麴30粒 衛部健食字第A00289號,"['', '']",https://www.findprice.com.tw/go/gfsm3k7a/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 立赫健保藥局,"$ 2,451",娘家 大紅麴 30粒/盒 公司貨【立赫藥局】,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/g2e8ft25/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 仁仁保健藥妝,"$ 2,451",娘家 大紅麴膠囊(30粒/盒) 娘家系列產品,"['', '']",https://www.findprice.com.tw/go/gggk7ece/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,蝦皮商城 - 久億藥局 官方賣場,"$ 2,450",娘家 大紅麴膠囊（30粒 / 盒）【久億藥局】,"['活動\n蝦皮7.7夏日免運節 領6張免運券', '折扣\n6月薪客滿299折150  折扣碼：IA202206 複製折扣碼 ']",https://www.findprice.com.tw/go/geshu5wv/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,momo購物網,"$ 2,451",【娘家官方直營】娘家大紅麴一盒組(30粒/盒),"['', '']",https://www.findprice.com.tw/go/gbwb6wvr/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 何藥局新一代藥妝連鎖,"$ 2,451",娘家 大紅麴膠囊30粒裝【何藥局新一代藥妝連鎖】,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/gvx3yp72/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩購物中心,"$ 2,701",娘家大紅麴一盒組(30粒/盒) 原廠公司貨,"['', '']",https://www.findprice.com.tw/go/g38nxz76/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - buyme,"$ 1,840",娘家 大紅麴 30粒/盒 / 益生菌 60包/盒 【buyme】,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/gdey9wxp/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,生活市集,"$ 2,580",【娘家】娘家大紅麴膠囊 30粒/盒【生活市集】,"['', '']",https://www.findprice.com.tw/go/gzmzt7qv/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - hofunpharmacy,"$ 2,451",【娘家】大紅麴膠囊 (30粒/盒) 民視 禾坊藥局,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/ggjvnx6v/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 上好連鎖藥局,"$ 2,580",【娘家】大紅麴膠囊 30粒/盒 【上好連鎖藥局】,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/g5svmhew/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,momo摩天商城 - 杏一健康生活館,"$ 2,580",娘家 大紅麴膠囊 (30粒/盒)【杏一】(保健),"['', '']",https://www.findprice.com.tw/go/gfnh6y7u/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 光點藥局,"$ 2,450",娘家 大紅麴 (30粒/盒)｜光點藥局 2010740,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/gz7w76e4/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,momo購物網,"$ 12,900",【娘家官方直營】娘家大紅麴五盒組(30粒/盒),"['', '']",https://www.findprice.com.tw/go/gy3ujm32/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 均福藥局,"$ 2,451",【民視 娘家】大紅麴 膠囊 30粒 (7-11)取貨免運,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/gc68gkx5/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 優品購健康,"$ 2,750",【優品購健康 UPgo】娘家 大紅麴 膠囊 30顆,"['', '']",https://www.findprice.com.tw/go/gcas7yvf/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 專品藥局,"$ 2,451",民視 娘家 大紅麴 膠囊 30粒 專品藥局【2011418】,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/g76wfasp/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
